Date,Precipitation,State
1997,5.7,Alabama
1998,3.3,Alabama
1999,2.61,Alabama
2000,7.7,Alabama
2001,3.43,Alabama
2002,4.88,Alabama
2003,4.67,Alabama
2004,8.12,Alabama
2005,3.59,Alabama
2006,4.84,Alabama
2007,2.75,Alabama
2008,3.15,Alabama
2009,4.39,Alabama
2010,4.73,Alabama
2011,4.13,Alabama
2012,1.36,Alabama
2013,3.42,Alabama
2014,2.98,Alabama
2015,6.8,Alabama
2016,2.3,Alabama
2017,1.05,Alabama
2018,6.29,Alabama
2019,3.24,Alabama
2020,2.75,Alabama
2021,1.19,Alabama
2022,4.84,Alabama
1895,4.61,Arkansas
1896,4.47,Arkansas
1897,2.87,Arkansas
1898,3.29,Arkansas
1899,2.7,Arkansas
1900,4.34,Arkansas
1901,2.91,Arkansas
1902,6.59,Arkansas
1903,0.65,Arkansas
1904,1.47,Arkansas
1905,3.32,Arkansas
1906,5.95,Arkansas
1907,5.7,Arkansas
1908,5.59,Arkansas
1909,3.85,Arkansas
1910,0.52,Arkansas
1911,3.26,Arkansas
1912,1.82,Arkansas
1913,2.41,Arkansas
1914,2.33,Arkansas
1915,5.42,Arkansas
1916,2.93,Arkansas
1917,1.84,Arkansas
1918,3.88,Arkansas
1919,6.49,Arkansas
1920,2.13,Arkansas
1921,5.73,Arkansas
1922,3.83,Arkansas
1923,3.46,Arkansas
1924,2.29,Arkansas
1925,5.72,Arkansas
1926,3.32,Arkansas
1927,3.62,Arkansas
1928,4.1,Arkansas
1929,2.87,Arkansas
1930,3.95,Arkansas
1931,6.33,Arkansas
1932,2.11,Arkansas
1933,1.85,Arkansas
1934,7.08,Arkansas
1935,3.78,Arkansas
1936,3.03,Arkansas
1937,4.81,Arkansas
1938,5.27,Arkansas
1939,3.34,Arkansas
1940,6.18,Arkansas
1941,2.3,Arkansas
1942,3.61,Arkansas
1943,1.26,Arkansas
1944,4.75,Arkansas
1945,4.36,Arkansas
1946,8.74,Arkansas
1947,5.33,Arkansas
1948,6.2,Arkansas
1949,0.38,Arkansas
1950,2.37,Arkansas
1951,5.3,Arkansas
1952,7.04,Arkansas
1953,2.22,Arkansas
1954,1.51,Arkansas
1955,2.01,Arkansas
1956,3.96,Arkansas
1957,9.17,Arkansas
1958,5.66,Arkansas
1959,2.93,Arkansas
1960,2.79,Arkansas
1961,6.65,Arkansas
1962,2.1,Arkansas
1963,4.01,Arkansas
1964,3.94,Arkansas
1965,1.74,Arkansas
1966,2.16,Arkansas
1967,1.87,Arkansas
1968,5.95,Arkansas
1969,3.81,Arkansas
1970,2.55,Arkansas
1971,2.77,Arkansas
1972,7.74,Arkansas
1973,8.09,Arkansas
1974,6.79,Arkansas
1975,3.84,Arkansas
1976,1.63,Arkansas
1977,5.78,Arkansas
1978,6.92,Arkansas
1979,4.06,Arkansas
1980,3.69,Arkansas
1981,2.22,Arkansas
1982,6.96,Arkansas
1983,6.09,Arkansas
1984,6.18,Arkansas
1985,6.14,Arkansas
1986,5.94,Arkansas
1987,8.89,Arkansas
1988,9.37,Arkansas
1989,1.74,Arkansas
1990,3.77,Arkansas
1991,5.16,Arkansas
1992,5.4,Arkansas
1993,5.42,Arkansas
1994,7.14,Arkansas
1995,2.82,Arkansas
1996,8.89,Arkansas
1997,3.47,Arkansas
1998,3.01,Arkansas
1999,1.85,Arkansas
2000,8.97,Arkansas
2001,5.78,Arkansas
2002,2.17,Arkansas
2003,5.26,Arkansas
2004,8.99,Arkansas
2005,3.2,Arkansas
2006,4.88,Arkansas
2007,2.06,Arkansas
2008,2.31,Arkansas
2009,1.7,Arkansas
2010,4.35,Arkansas
2011,8.45,Arkansas
2012,1.74,Arkansas
2013,3.85,Arkansas
2014,2.68,Arkansas
2015,10.72,Arkansas
2016,3.28,Arkansas
2017,1.11,Arkansas
2018,5.11,Arkansas
2019,4.66,Arkansas
2020,1.94,Arkansas
2021,2.12,Arkansas
2022,4.49,Arkansas
1895,2.11,Arizona
1896,0.49,Arizona
1897,0.11,Arizona
1898,0.49,Arizona
1899,0.56,Arizona
1900,1.33,Arizona
1901,0.26,Arizona
1902,1.63,Arizona
1903,0,Arizona
1904,0.01,Arizona
1905,3.77,Arizona
1906,1.62,Arizona
1907,0.71,Arizona
1908,0.42,Arizona
1909,0.87,Arizona
1910,1.93,Arizona
1911,0.02,Arizona
1912,0.06,Arizona
1913,1.84,Arizona
1914,0.75,Arizona
1915,0.87,Arizona
1916,0.01,Arizona
1917,0.02,Arizona
1918,1.27,Arizona
1919,2.47,Arizona
1920,0.18,Arizona
1921,0.29,Arizona
1922,1.19,Arizona
1923,2.1,Arizona
1924,0.16,Arizona
1925,0.69,Arizona
1926,0.29,Arizona
1927,0.4,Arizona
1928,0.69,Arizona
1929,0.13,Arizona
1930,1.62,Arizona
1931,2.45,Arizona
1932,0,Arizona
1933,0.97,Arizona
1934,0.9,Arizona
1935,1.03,Arizona
1936,0.71,Arizona
1937,0.07,Arizona
1938,0.1,Arizona
1939,1.18,Arizona
1940,1.15,Arizona
1941,0.93,Arizona
1942,0.12,Arizona
1943,0.06,Arizona
1944,1.68,Arizona
1945,0.02,Arizona
1946,1.33,Arizona
1947,0.75,Arizona
1948,0.03,Arizona
1949,0.36,Arizona
1950,0.14,Arizona
1951,0.95,Arizona
1952,1.97,Arizona
1953,0.39,Arizona
1954,0.12,Arizona
1955,0.5,Arizona
1956,0.02,Arizona
1957,0.91,Arizona
1958,0.69,Arizona
1959,0.71,Arizona
1960,0.49,Arizona
1961,0.65,Arizona
1962,0.72,Arizona
1963,1.28,Arizona
1964,0.8,Arizona
1965,1.78,Arizona
1966,0.77,Arizona
1967,0.91,Arizona
1968,0.79,Arizona
1969,1.2,Arizona
1970,0.41,Arizona
1971,0.43,Arizona
1972,1.29,Arizona
1973,0.88,Arizona
1974,0.52,Arizona
1975,1.01,Arizona
1976,0.36,Arizona
1977,0.35,Arizona
1978,3.14,Arizona
1979,0.5,Arizona
1980,0.08,Arizona
1981,1.23,Arizona
1982,2.02,Arizona
1983,1.16,Arizona
1984,0.93,Arizona
1985,2.33,Arizona
1986,1.2,Arizona
1987,1.62,Arizona
1988,0.72,Arizona
1989,0.05,Arizona
1990,0.8,Arizona
1991,1.22,Arizona
1992,0.14,Arizona
1993,1.52,Arizona
1994,1.33,Arizona
1995,0.58,Arizona
1996,0.79,Arizona
1997,0.59,Arizona
1998,0.93,Arizona
1999,0,Arizona
2000,0.84,Arizona
2001,0.29,Arizona
2002,0.64,Arizona
2003,1.15,Arizona
2004,1.76,Arizona
2005,0.06,Arizona
2006,0.07,Arizona
2007,0.6,Arizona
2008,0.89,Arizona
2009,0.15,Arizona
2010,0.19,Arizona
2011,0.92,Arizona
2012,0.21,Arizona
2013,1.86,Arizona
2014,0.11,Arizona
2015,0.76,Arizona
2016,0.94,Arizona
2017,0.02,Arizona
2018,0.27,Arizona
2019,2.96,Arizona
2020,0.27,Arizona
2021,0.05,Arizona
2022,0.42,Arizona
1895,1.61,California
1896,4.18,California
1897,1.83,California
1898,1.41,California
1899,4.15,California
1900,4.82,California
1901,2.57,California
1902,3.97,California
1903,5.02,California
1904,1.28,California
1905,2.17,California
1906,1.83,California
1907,0.38,California
1908,1.69,California
1909,4.22,California
1910,2.23,California
1911,0.78,California
1912,2.31,California
1913,4.15,California
1914,0.69,California
1915,1.65,California
1916,1.39,California
1917,1.56,California
1918,2.51,California
1919,0.82,California
1920,4.51,California
1921,1.45,California
1922,2.68,California
1923,0.87,California
1924,2.1,California
1925,1.74,California
1926,6.99,California
1927,3.65,California
1928,2.78,California
1929,0,California
1930,2.01,California
1931,2.68,California
1932,1.06,California
1933,0.11,California
1934,3.79,California
1935,1.05,California
1936,0.14,California
1937,4.09,California
1938,1.24,California
1939,0.46,California
1940,1.24,California
1941,1.91,California
1942,3.55,California
1943,0.96,California
1944,5.09,California
1945,3.12,California
1946,4.55,California
1947,0.8,California
1948,1.11,California
1949,1.72,California
1950,4.24,California
1951,3.37,California
1952,2.29,California
1953,2.94,California
1954,2.75,California
1955,2.69,California
1956,0.11,California
1957,1.73,California
1958,0.96,California
1959,0.14,California
1960,4.52,California
1961,2.99,California
1962,1.29,California
1963,4.59,California
1964,3.99,California
1965,6.17,California
1966,4.81,California
1967,2.63,California
1968,2.67,California
1969,1.34,California
1970,6.56,California
1971,2.2,California
1972,4.23,California
1973,6.58,California
1974,1.03,California
1975,1.19,California
1976,0.86,California
1977,2.18,California
1978,1.96,California
1979,2.55,California
1980,0.63,California
1981,5.99,California
1982,5.05,California
1983,6.55,California
1984,6.14,California
1985,3.84,California
1986,0.77,California
1987,2.26,California
1988,4.2,California
1989,1.05,California
1990,0.71,California
1991,1.07,California
1992,0.59,California
1993,1.42,California
1994,3.73,California
1995,0.36,California
1996,3.35,California
1997,3.95,California
1998,4.34,California
1999,2.2,California
2000,0.79,California
2001,4.21,California
2002,3.18,California
2003,2.35,California
2004,1.68,California
2005,2.26,California
2006,2.08,California
2007,0.82,California
2008,2.41,California
2009,0.99,California
2010,2.6,California
2011,1.69,California
2012,3.57,California
2013,0.99,California
2014,1.84,California
2015,1.87,California
2016,2.16,California
2017,2.98,California
2018,2.81,California
2019,1.61,California
2020,1.19,California
2021,0.95,California
2022,2.02,California
1895,1.59,Colorado
1896,0.95,Colorado
1897,0.58,Colorado
1898,1.2,Colorado
1899,0.96,Colorado
1900,0.7,Colorado
1901,0.28,Colorado
1902,1.08,Colorado
1903,0.22,Colorado
1904,0.03,Colorado
1905,1.33,Colorado
1906,1.48,Colorado
1907,0.48,Colorado
1908,1.34,Colorado
1909,1.7,Colorado
1910,0.82,Colorado
1911,1,Colorado
1912,0.49,Colorado
1913,1.13,Colorado
1914,0.07,Colorado
1915,1.07,Colorado
1916,0.7,Colorado
1917,0.4,Colorado
1918,1.21,Colorado
1919,2.19,Colorado
1920,0.77,Colorado
1921,0.67,Colorado
1922,1.82,Colorado
1923,0.74,Colorado
1924,0.62,Colorado
1925,0.96,Colorado
1926,1.03,Colorado
1927,1.17,Colorado
1928,1.9,Colorado
1929,0.92,Colorado
1930,1.62,Colorado
1931,1.76,Colorado
1932,0.3,Colorado
1933,0.8,Colorado
1934,1.08,Colorado
1935,0.57,Colorado
1936,0.35,Colorado
1937,0.86,Colorado
1938,1.02,Colorado
1939,0.31,Colorado
1940,1.31,Colorado
1941,0.53,Colorado
1942,0.69,Colorado
1943,0.62,Colorado
1944,1.4,Colorado
1945,0.63,Colorado
1946,2.46,Colorado
1947,0.94,Colorado
1948,0.99,Colorado
1949,0.26,Colorado
1950,0.92,Colorado
1951,1.16,Colorado
1952,1.31,Colorado
1953,1.47,Colorado
1954,0.88,Colorado
1955,1.28,Colorado
1956,1.08,Colorado
1957,1.86,Colorado
1958,0.87,Colorado
1959,0.43,Colorado
1960,0.78,Colorado
1961,1.09,Colorado
1962,0.96,Colorado
1963,0.7,Colorado
1964,1.56,Colorado
1965,1.22,Colorado
1966,0.65,Colorado
1967,0.68,Colorado
1968,1.09,Colorado
1969,0.72,Colorado
1970,1.29,Colorado
1971,1.09,Colorado
1972,1.85,Colorado
1973,1.15,Colorado
1974,0.96,Colorado
1975,1.6,Colorado
1976,0.33,Colorado
1977,1.25,Colorado
1978,1.57,Colorado
1979,1.45,Colorado
1980,0.68,Colorado
1981,0.76,Colorado
1982,1.28,Colorado
1983,2.48,Colorado
1984,0.66,Colorado
1985,2.29,Colorado
1986,1.78,Colorado
1987,1.49,Colorado
1988,1.35,Colorado
1989,0.4,Colorado
1990,1.41,Colorado
1991,2.28,Colorado
1992,1.6,Colorado
1993,1.41,Colorado
1994,1.64,Colorado
1995,0.88,Colorado
1996,1.42,Colorado
1997,1.23,Colorado
1998,1.34,Colorado
1999,0.37,Colorado
2000,0.83,Colorado
2001,1.2,Colorado
2002,0.98,Colorado
2003,1.34,Colorado
2004,1.69,Colorado
2005,0.89,Colorado
2006,0.8,Colorado
2007,0.4,Colorado
2008,0.92,Colorado
2009,0.61,Colorado
2010,0.95,Colorado
2011,0.99,Colorado
2012,0.44,Colorado
2013,1.15,Colorado
2014,1.12,Colorado
2015,1.69,Colorado
2016,0.92,Colorado
2017,0.52,Colorado
2018,0.87,Colorado
2019,1.11,Colorado
2020,0.85,Colorado
2021,0.37,Colorado
2022,0.91,Colorado
1895,6.31,Connecticut
1896,3.23,Connecticut
1897,6.56,Connecticut
1898,7.11,Connecticut
1899,1.97,Connecticut
1900,6.07,Connecticut
1901,2.44,Connecticut
1902,1.35,Connecticut
1903,2.06,Connecticut
1904,1.79,Connecticut
1905,2.46,Connecticut
1906,2.4,Connecticut
1907,6.35,Connecticut
1908,0.95,Connecticut
1909,2.42,Connecticut
1910,4.8,Connecticut
1911,5.62,Connecticut
1912,4.22,Connecticut
1913,2.79,Connecticut
1914,3.03,Connecticut
1915,2.39,Connecticut
1916,3.1,Connecticut
1917,0.8,Connecticut
1918,2.99,Connecticut
1919,5.21,Connecticut
1920,5.68,Connecticut
1921,6.13,Connecticut
1922,1.29,Connecticut
1923,4.04,Connecticut
1924,2.72,Connecticut
1925,3.62,Connecticut
1926,5.79,Connecticut
1927,7.46,Connecticut
1928,1.96,Connecticut
1929,2.96,Connecticut
1930,4.1,Connecticut
1931,1.11,Connecticut
1932,6.96,Connecticut
1933,1.36,Connecticut
1934,3.8,Connecticut
1935,4.32,Connecticut
1936,1.44,Connecticut
1937,6.5,Connecticut
1938,3.59,Connecticut
1939,1.65,Connecticut
1940,6.03,Connecticut
1941,3.47,Connecticut
1942,6.19,Connecticut
1943,4.94,Connecticut
1944,7,Connecticut
1945,5.65,Connecticut
1946,1.43,Connecticut
1947,6.64,Connecticut
1948,5.69,Connecticut
1949,2.21,Connecticut
1950,5.75,Connecticut
1951,7.74,Connecticut
1952,3.52,Connecticut
1953,3.77,Connecticut
1954,6.06,Connecticut
1955,5.52,Connecticut
1956,4.39,Connecticut
1957,4.32,Connecticut
1958,3.62,Connecticut
1959,5.29,Connecticut
1960,3.37,Connecticut
1961,3.29,Connecticut
1962,4.04,Connecticut
1963,6.95,Connecticut
1964,2.57,Connecticut
1965,2.09,Connecticut
1966,4.09,Connecticut
1967,3.15,Connecticut
1968,5.81,Connecticut
1969,6.11,Connecticut
1970,4.58,Connecticut
1971,4.98,Connecticut
1972,7.9,Connecticut
1973,2.23,Connecticut
1974,2.27,Connecticut
1975,5.57,Connecticut
1976,0.68,Connecticut
1977,4.76,Connecticut
1978,2.43,Connecticut
1979,4.35,Connecticut
1980,4.28,Connecticut
1981,2.29,Connecticut
1982,3.85,Connecticut
1983,7.11,Connecticut
1984,3.26,Connecticut
1985,6.69,Connecticut
1986,7.1,Connecticut
1987,3.02,Connecticut
1988,8.98,Connecticut
1989,4.35,Connecticut
1990,3.02,Connecticut
1991,4.19,Connecticut
1992,6.04,Connecticut
1993,3.99,Connecticut
1994,4.66,Connecticut
1995,5.07,Connecticut
1996,4.1,Connecticut
1997,6.41,Connecticut
1998,2.32,Connecticut
1999,3.21,Connecticut
2000,3.71,Connecticut
2001,1.08,Connecticut
2002,5.68,Connecticut
2003,3.17,Connecticut
2004,3.95,Connecticut
2005,4.64,Connecticut
2006,6.08,Connecticut
2007,3.16,Connecticut
2008,3.67,Connecticut
2009,2.74,Connecticut
2010,3.38,Connecticut
2011,3.57,Connecticut
2012,0.8,Connecticut
2013,3.7,Connecticut
2014,4.16,Connecticut
2015,2.23,Connecticut
2016,3.24,Connecticut
2017,1.62,Connecticut
2018,8.09,Connecticut
2019,2.87,Connecticut
2020,4.51,Connecticut
2021,1.99,Connecticut
2022,3.09,Connecticut
1895,1.99,Delaware
1896,2.37,Delaware
1897,4.13,Delaware
1898,4.59,Delaware
1899,2.06,Delaware
1900,2.65,Delaware
1901,2.28,Delaware
1902,3.14,Delaware
1903,1.33,Delaware
1904,2.12,Delaware
1905,1.03,Delaware
1906,1.96,Delaware
1907,6.42,Delaware
1908,1.22,Delaware
1909,2.21,Delaware
1910,2.9,Delaware
1911,5.31,Delaware
1912,2.54,Delaware
1913,1.48,Delaware
1914,2.12,Delaware
1915,0.98,Delaware
1916,2.29,Delaware
1917,0.49,Delaware
1918,1.28,Delaware
1919,3.45,Delaware
1920,5.33,Delaware
1921,4.08,Delaware
1922,0.84,Delaware
1923,2.82,Delaware
1924,2.1,Delaware
1925,2.94,Delaware
1926,3.64,Delaware
1927,2.77,Delaware
1928,1.71,Delaware
1929,2.51,Delaware
1930,1.89,Delaware
1931,0.93,Delaware
1932,5.04,Delaware
1933,1.72,Delaware
1934,3.55,Delaware
1935,4.85,Delaware
1936,0.88,Delaware
1937,4.23,Delaware
1938,3.26,Delaware
1939,1.57,Delaware
1940,4.76,Delaware
1941,1.77,Delaware
1942,2.54,Delaware
1943,2.39,Delaware
1944,5.26,Delaware
1945,3.92,Delaware
1946,1.83,Delaware
1947,4.99,Delaware
1948,6.38,Delaware
1949,2.2,Delaware
1950,3.69,Delaware
1951,6.04,Delaware
1952,5.43,Delaware
1953,2.57,Delaware
1954,3.97,Delaware
1955,2.03,Delaware
1956,4.97,Delaware
1957,4.34,Delaware
1958,2.76,Delaware
1959,4.86,Delaware
1960,1.74,Delaware
1961,1.98,Delaware
1962,5.49,Delaware
1963,6.25,Delaware
1964,1.85,Delaware
1965,0.83,Delaware
1966,1.35,Delaware
1967,2,Delaware
1968,3.83,Delaware
1969,2.25,Delaware
1970,3.63,Delaware
1971,3.93,Delaware
1972,6.49,Delaware
1973,1.48,Delaware
1974,1.04,Delaware
1975,3.52,Delaware
1976,1,Delaware
1977,5.41,Delaware
1978,3.25,Delaware
1979,4.07,Delaware
1980,2.62,Delaware
1981,0.83,Delaware
1982,4.6,Delaware
1983,5.18,Delaware
1984,2.47,Delaware
1985,4.13,Delaware
1986,4.61,Delaware
1987,3.52,Delaware
1988,4.94,Delaware
1989,2.97,Delaware
1990,1.61,Delaware
1991,0.9,Delaware
1992,3.44,Delaware
1993,3.28,Delaware
1994,3.41,Delaware
1995,4.27,Delaware
1996,2.03,Delaware
1997,6.35,Delaware
1998,1.22,Delaware
1999,2.1,Delaware
2000,2.45,Delaware
2001,0.57,Delaware
2002,5.5,Delaware
2003,5.07,Delaware
2004,4.58,Delaware
2005,3.47,Delaware
2006,5.61,Delaware
2007,1.53,Delaware
2008,4.73,Delaware
2009,4.55,Delaware
2010,2.03,Delaware
2011,3.62,Delaware
2012,0.98,Delaware
2013,2.48,Delaware
2014,3.96,Delaware
2015,3.02,Delaware
2016,0.79,Delaware
2017,2.04,Delaware
2018,6.85,Delaware
2019,1.38,Delaware
2020,5.84,Delaware
2021,0.88,Delaware
2022,2.91,Delaware
1895,2.74,Florida
1896,3.89,Florida
1897,1.46,Florida
1898,3.22,Florida
1899,0.8,Florida
1900,1.58,Florida
1901,1.04,Florida
1902,2.81,Florida
1903,2.93,Florida
1904,2.89,Florida
1905,0.84,Florida
1906,0.98,Florida
1907,2.34,Florida
1908,1.71,Florida
1909,0.81,Florida
1910,1.7,Florida
1911,3.95,Florida
1912,3.13,Florida
1913,1.13,Florida
1914,2.67,Florida
1915,2.53,Florida
1916,3.26,Florida
1917,0.54,Florida
1918,3.36,Florida
1919,3.07,Florida
1920,4.17,Florida
1921,2.57,Florida
1922,1.35,Florida
1923,1.01,Florida
1924,0.37,Florida
1925,3.28,Florida
1926,3.02,Florida
1927,1.06,Florida
1928,0.73,Florida
1929,1.57,Florida
1930,3.56,Florida
1931,0.32,Florida
1932,4.28,Florida
1933,1.57,Florida
1934,1.36,Florida
1935,1.35,Florida
1936,1.52,Florida
1937,4.19,Florida
1938,1.48,Florida
1939,1.27,Florida
1940,1.21,Florida
1941,3.17,Florida
1942,0.76,Florida
1943,1.78,Florida
1944,1.36,Florida
1945,1.08,Florida
1946,2.47,Florida
1947,5.72,Florida
1948,2.81,Florida
1949,1.78,Florida
1950,0.82,Florida
1951,4.27,Florida
1952,1.18,Florida
1953,3.48,Florida
1954,2.45,Florida
1955,1.21,Florida
1956,0.55,Florida
1957,2.77,Florida
1958,2.15,Florida
1959,2.29,Florida
1960,1.02,Florida
1961,1.93,Florida
1962,3.01,Florida
1963,4.16,Florida
1964,2.08,Florida
1965,1.61,Florida
1966,0.98,Florida
1967,0.94,Florida
1968,2.84,Florida
1969,2.22,Florida
1970,0.77,Florida
1971,1.96,Florida
1972,5.05,Florida
1973,1.59,Florida
1974,1.43,Florida
1975,1.62,Florida
1976,3.77,Florida
1977,3.58,Florida
1978,1.7,Florida
1979,2.74,Florida
1980,3.52,Florida
1981,2.4,Florida
1982,2.25,Florida
1983,3.51,Florida
1984,3.03,Florida
1985,2.93,Florida
1986,3.25,Florida
1987,6.14,Florida
1988,3.55,Florida
1989,2.44,Florida
1990,1.19,Florida
1991,1.18,Florida
1992,4.79,Florida
1993,1.87,Florida
1994,3.87,Florida
1995,2.62,Florida
1996,1.12,Florida
1997,5.2,Florida
1998,3.19,Florida
1999,2.15,Florida
2000,2.02,Florida
2001,1.57,Florida
2002,3.64,Florida
2003,2.45,Florida
2004,2.49,Florida
2005,2.88,Florida
2006,1.85,Florida
2007,1.16,Florida
2008,1.39,Florida
2009,2.24,Florida
2010,2.07,Florida
2011,1.41,Florida
2012,0.43,Florida
2013,3.11,Florida
2014,4.06,Florida
2015,3.8,Florida
2016,0.21,Florida
2017,1.64,Florida
2018,3.15,Florida
2019,1.83,Florida
2020,3.85,Florida
2021,2.88,Florida
2022,3.76,Florida
1895,1.81,Georgia
1896,5.25,Georgia
1897,1.25,Georgia
1898,4.96,Georgia
1899,1.79,Georgia
1900,3.13,Georgia
1901,0.98,Georgia
1902,3.52,Georgia
1903,2.38,Georgia
1904,3.09,Georgia
1905,1.67,Georgia
1906,1.53,Georgia
1907,4.66,Georgia
1908,1.19,Georgia
1909,0.93,Georgia
1910,2.18,Georgia
1911,3.94,Georgia
1912,2.36,Georgia
1913,0.94,Georgia
1914,4.68,Georgia
1915,2.31,Georgia
1916,1.71,Georgia
1917,0.93,Georgia
1918,4.68,Georgia
1919,1.81,Georgia
1920,3.89,Georgia
1921,3.52,Georgia
1922,0.78,Georgia
1923,2.67,Georgia
1924,0.67,Georgia
1925,4.19,Georgia
1926,3.68,Georgia
1927,1.59,Georgia
1928,0.92,Georgia
1929,4.49,Georgia
1930,5.58,Georgia
1931,0.58,Georgia
1932,4.62,Georgia
1933,0.96,Georgia
1934,1.73,Georgia
1935,2.79,Georgia
1936,1.2,Georgia
1937,2.13,Georgia
1938,2.41,Georgia
1939,0.88,Georgia
1940,3.56,Georgia
1941,1.6,Georgia
1942,1.6,Georgia
1943,1.99,Georgia
1944,2.28,Georgia
1945,2.14,Georgia
1946,2.14,Georgia
1947,7.88,Georgia
1948,9,Georgia
1949,1.14,Georgia
1950,1.02,Georgia
1951,4.13,Georgia
1952,2,Georgia
1953,1.53,Georgia
1954,3.05,Georgia
1955,2.18,Georgia
1956,1.04,Georgia
1957,6.65,Georgia
1958,1.46,Georgia
1959,1.52,Georgia
1960,0.98,Georgia
